"business","price","dish","ingredients","date","location"
"Jouis Nour","5.9","Schupfnudelpfanne mit Basilikumpesto und Marktgemüse","Bio;Vegetarian","23.8.2017","Adlershof"
"Jouis Nour","4","Cremige Rucola-Käsesuppe mit Chili-Croutons","Bio;Vegetarian;Soup","24.8.2017","Adlershof"
"Jouis Nour","7.9","Gebratener Seelachs auf Mangold-Zucchinigemüse mit gebackenen Süßkartoffeln und Currysauce","Fish","24.8.2017","Adlershof"
"Jouis Nour","5.9","Feuriger Couscous mit marokkanischem Gemüsetopf und Ingwer-Zimt-Dip","Bio;Vegetarian","24.8.2017","Adlershof"
"Jouis Nour","4","Sellerie-Cremesuppe mit Kräutern","Bio;Vegetarian;Soup","25.8.2017","Adlershof"
"Jouis Nour","7.5","Rinderstreifen nach Stroganoff Art mit Salzkartoffeln","Bio","25.8.2017","Adlershof"
"Jouis Nour","5.9","Blumenkohl-Amaranth-Pfanne an Tomatensauce","Vegan;Bio;Vegetarian","25.8.2017","Adlershof"
"Jouis Nour","4","Indische Möhrensuppe mit Orangen-Joghurt","Bio;Vegetarian;Soup","28.8.2017","Adlershof"
"Jouis Nour","7.5","Puten-Gyros mit Tomaten-Paprikasauce und Vollkornreis","Bio","28.8.2017","Adlershof"
"Jouis Nour","5.9","Gemüse-Kichererbsenpfanne und Joghurt-Dip","Bio;Vegetarian","28.8.2017","Adlershof"
"Jouis Nour","4","Kartoffel-Frischkäsesuppe mit frischem Dill","Bio;Vegetarian;Soup","29.8.2017","Adlershof"
"Jouis Nour","6.5","Berliner Jägerschnitzel mit Tomatensauce und Spirelli","Bio","29.8.2017","Adlershof"
"Jouis Nour","5.9","Getreide-Gemüse-Taler mit Sesamsauce und buntem Salat","Bio;Vegetarian","29.8.2017","Adlershof"
"Jouis Nour","4","Kürbis-Cremesuppe mit Orangen und Ingwer dazu Sesam","Bio;Vegetarian;Soup","30.8.2017","Adlershof"
"Jouis Nour","7.5","Cordon Bleu vom Schwein mit Brokkoli und Kartoffelstampf","Bio","30.8.2017","Adlershof"
"Jouis Nour","5.9","Farfalle mit Pilz-Ragout und Cherrytomaten dazu geriebenen Käse","Bio;Vegetarian","30.8.2017","Adlershof"
"Jouis Nour","4.5","Berliner Erbsensuppe mit Wiener Würstchen","Bio;Soup","31.8.2017","Adlershof"
"Jouis Nour","7.9","Gebratenes Zanderfilet auf Karotten-Lauch-Rahm und Kräuterreis","Fish","31.8.2017","Adlershof"
"Jouis Nour","5.5","Vollkorn-Spaghetti mit Pesto und Tomatenwürfeln","Bio;Vegetarian","31.8.2017","Adlershof"
